56;3;1;0;1;1;1;1;4;1;261.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
57;7;1;3;2;1;1;1;4;1;149.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
37;7;1;3;1;0;1;1;4;1;226.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
40;0;1;1;1;1;1;1;4;1;151.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
56;7;1;3;1;1;0;1;4;1;307.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
45;7;1;2;2;1;1;1;4;1;198.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
59;0;1;5;1;1;1;1;4;1;139.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
41;1;1;7;2;1;1;1;4;1;217.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
24;9;2;5;1;0;1;1;4;1;380.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
25;7;2;3;1;0;1;1;4;1;50.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
41;1;1;7;2;1;1;1;4;1;55.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
25;7;2;3;1;0;1;1;4;1;222.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
29;1;2;3;1;1;0;1;4;1;137.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
57;3;0;0;1;0;1;1;4;1;293.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
35;1;1;1;1;0;1;1;4;1;146.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
54;5;1;2;2;0;0;1;4;1;174.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
35;1;1;1;1;0;1;1;4;1;312.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
46;1;1;1;2;0;0;1;4;1;440.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
50;1;1;2;1;0;0;1;4;1;353.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
39;4;2;2;2;1;1;1;4;1;195.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
30;10;1;3;1;1;1;1;4;1;38.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
55;1;1;0;2;0;1;1;4;1;262.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
55;5;2;3;1;0;1;1;4;1;342.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
41;9;2;3;1;0;1;1;4;1;181.0;1.0;999.0;0.0;0;1.1;93.994;-36.4;4.857;5191.0;1
